"Step","train/obj_loss","train/obj_loss__MIN","train/obj_loss__MAX"
"48","0.007096502464264631","0.007096502464264631","0.007096502464264631"
"49","0.00663467263802886","0.00663467263802886","0.00663467263802886"
"50","0.007332253735512495","0.007332253735512495","0.007332253735512495"
"51","0.00665315380319953","0.00665315380319953","0.00665315380319953"
"52","0.006773002445697784","0.006773002445697784","0.006773002445697784"
"53","0.006555513944476843","0.006555513944476843","0.006555513944476843"
"54","0.0060763186775147915","0.0060763186775147915","0.0060763186775147915"
"55","0.0059135048650205135","0.0059135048650205135","0.0059135048650205135"
"56","0.006774177774786949","0.006774177774786949","0.006774177774786949"
"57","0.006413434632122517","0.006413434632122517","0.006413434632122517"
"58","0.006120061036199331","0.006120061036199331","0.006120061036199331"
"59","0.006402021273970604","0.006402021273970604","0.006402021273970604"
"60","0.00593133270740509","0.00593133270740509","0.00593133270740509"
"61","0.0069639068096876144","0.0069639068096876144","0.0069639068096876144"
"62","0.006795622408390045","0.006795622408390045","0.006795622408390045"
"63","0.006050446070730686","0.006050446070730686","0.006050446070730686"
"64","0.00620788149535656","0.00620788149535656","0.00620788149535656"
"65","0.005961220245808363","0.005961220245808363","0.005961220245808363"
"66","0.006587843410670757","0.006587843410670757","0.006587843410670757"
"67","0.007854262366890907","0.007854262366890907","0.007854262366890907"
"68","0.0059507242403924465","0.0059507242403924465","0.0059507242403924465"
"69","0.006075561046600342","0.006075561046600342","0.006075561046600342"
"70","0.0057796696200966835","0.0057796696200966835","0.0057796696200966835"
"71","0.005861276760697365","0.005861276760697365","0.005861276760697365"
"72","0.005356932990252972","0.005356932990252972","0.005356932990252972"
"73","0.005617505870759487","0.005617505870759487","0.005617505870759487"
"74","0.005417373962700367","0.005417373962700367","0.005417373962700367"
"75","0.0067671723663806915","0.0067671723663806915","0.0067671723663806915"
"76","0.0058746859431266785","0.0058746859431266785","0.0058746859431266785"
"77","0.00495693925768137","0.00495693925768137","0.00495693925768137"
"78","0.006333138793706894","0.006333138793706894","0.006333138793706894"
"79","0.006147157400846481","0.006147157400846481","0.006147157400846481"
"80","0.008422626182436943","0.008422626182436943","0.008422626182436943"
"81","0.005796797573566437","0.005796797573566437","0.005796797573566437"
"82","0.005342182703316212","0.005342182703316212","0.005342182703316212"
"83","0.0067184362560510635","0.0067184362560510635","0.0067184362560510635"
"84","0.006278121378272772","0.006278121378272772","0.006278121378272772"
"85","0.006572225596755743","0.006572225596755743","0.006572225596755743"
"86","0.005262162070721388","0.005262162070721388","0.005262162070721388"
"87","0.006127099506556988","0.006127099506556988","0.006127099506556988"
"88","0.005178623367100954","0.005178623367100954","0.005178623367100954"
"89","0.00574189517647028","0.00574189517647028","0.00574189517647028"
"90","0.0054354434832930565","0.0054354434832930565","0.0054354434832930565"
"91","0.004817570094019175","0.004817570094019175","0.004817570094019175"
"92","0.005828376859426498","0.005828376859426498","0.005828376859426498"
"93","0.005033213645219803","0.005033213645219803","0.005033213645219803"
"94","0.005171512253582478","0.005171512253582478","0.005171512253582478"
"95","0.004951429087668657","0.004951429087668657","0.004951429087668657"
"96","0.004525603726506233","0.004525603726506233","0.004525603726506233"
"97","0.00543279480189085","0.00543279480189085","0.00543279480189085"
"98","0.005197050049901009","0.005197050049901009","0.005197050049901009"
"99","0.004739915952086449","0.004739915952086449","0.004739915952086449"
